station_id,lon,lat
94,0.624,11.375
95,0.624,12.792
96,0.624,14.209
97,0.624,15.625
98,0.624,17.042
99,2.041,7.125
100,2.041,8.542
101,2.041,9.959
102,2.041,11.375
103,2.041,12.792
104,2.041,14.209
105,2.041,15.625
106,3.458,7.125
107,3.458,8.542
108,3.458,9.959
109,3.458,11.375
110,3.458,12.792
111,3.458,14.209
112,3.458,15.625
113,4.874,7.125
114,4.874,8.542
115,4.874,9.959
116,4.874,11.375
117,4.874,12.792
118,4.874,14.209
119,4.874,15.625
120,6.291,5.709
121,6.291,7.125
122,6.291,8.542
123,6.291,9.959
124,6.291,11.375
125,6.291,12.792
126,6.291,14.209
127,6.291,15.625
128,6.291,17.042
129,6.291,19.875
130,7.708,5.709
131,7.708,7.125
132,7.708,8.542
133,7.708,9.959
134,7.708,11.375
135,7.708,12.792
136,7.708,14.209
137,7.708,15.625
138,7.708,17.042
139,7.708,18.459
140,9.124,4.292
141,9.124,5.709
142,9.124,7.125
143,9.124,8.542
144,9.124,9.959
145,9.124,11.375
146,9.124,12.792
147,9.124,14.209
148,9.124,15.625
149,10.541,-2.791
150,10.541,0.042
151,10.541,1.459
152,10.541,5.709
153,10.541,7.125
154,10.541,8.542
155,10.541,9.959
156,10.541,11.375
157,10.541,12.792
158,10.541,14.209
159,11.958,-4.208
160,11.958,-2.791
161,11.958,-1.375
162,11.958,0.042
163,11.958,1.459
164,11.958,2.875
165,11.958,7.125
166,11.958,8.542
167,11.958,9.959
168,11.958,11.375
169,11.958,12.792
170,11.958,14.209
171,13.374,-16.958
172,13.374,-15.541
173,13.374,-14.125
174,13.374,-12.708
175,13.374,-9.875
176,13.374,-7.041
177,13.374,-5.625
178,13.374,-4.208
179,13.374,-2.791
180,13.374,-1.375
181,13.374,0.042
182,13.374,1.459
183,13.374,2.875
184,13.374,7.125
185,13.374,8.542
186,13.374,9.959
187,13.374,11.375
188,13.374,12.792
189,13.374,14.209
190,13.374,15.625
191,14.791,-19.791
192,14.791,-18.375
193,14.791,-16.958
194,14.791,-15.541
195,14.791,-14.125
196,14.791,-12.708
197,14.791,-11.291
198,14.791,-9.875
199,14.791,-8.458
200,14.791,-7.041
201,14.791,-5.625
202,14.791,-4.208
203,14.791,-2.791
204,14.791,-1.375
205,14.791,0.042
206,14.791,1.459
207,14.791,4.292
208,14.791,5.709
209,14.791,7.125
210,14.791,8.542
